hour_of_day,day_of_week,is_holiday,season,temperature,humidity,wind_speed,rainfall,Peak_Demand_met_(MW),Load_Growth_(%),Energy_Consumption_(MUs),Shedding_(MUs),Shedding_as_of_Energy_Consumption,Transmission_Losses_(%),System_Availability_(%),electricity_load_MW
6,3,False,summer,44.260714596148745,49.279757672456206,8.979877262955549,1.5601864044243652,6955.833306531999,32.48435466776273,162.39780813448107,2.9041806084099733,1.78831268831229,4.46470458309974,98.00557505871605,6955.833306531999
21,4,False,summer,44.54864778242992,53.29770563201687,3.185086660174142,1.8182496720710062,7010.4094454416645,7.473748411882514,173.36180394137352,15.212112147976885,8.774777258963704,3.0990257265289514,97.15972509321058,7010.4094454416645
9,3,False,summer,44.60633278262189,29.310853617212167,1.359096517992312,6.183860093330873,6773.425175303216,30.818452315266782,252.9847965068651,49.16154429033941,19.432608191933518,2.8670515729919197,99.2997020336816,6773.425175303216
8,6,False,summer,30.198974417398,57.68807022739411,8.44932326768309,3.854165025399161,6836.829423143841,26.599799466957254,106.38650088808568,11.54469128110745,10.851650524019021,1.9641018641040469,98.41631759412729,6836.829423143841
7,6,False,summer,32.60046980261658,35.64242430292963,2.733541316820935,7.553614103176525,6736.447733160125,40.53708647569991,270.06234979649787,10.397083143409441,3.8498824998168137,3.270801311279966,95.1565664622778,6736.447733160125
11,1,False,summer,35.927253540027216,57.066354631751764,10.909079937846313,3.265407688058354,6617.026223318879,34.839206608242854,328.17758976215976,26.041713001291182,7.9352502467229415,4.8446880973973965,99.22266924339075,6617.026223318879
14,4,False,summer,38.80126748495773,58.61021229056552,9.10551371530027,2.7599918202254337,6776.165497153542,13.692891090534182,218.50940228163296,8.263346953150124,3.7816894224531543,1.0625456269647757,97.11700740353184,6776.165497153542
7,6,False,summer,42.23192142682251,48.274293753904686,10.93510752061481,7.712703466859457,7344.3390088801725,27.397887609653473,129.61786069363615,17.92328642721363,13.827790654234745,1.4634762381005189,99.31551712937797,7344.3390088801725
1,0,False,summer,30.953375254290354,32.43929286862649,4.877749830401205,7.29606178338064,6122.061691400782,32.7946872333797,355.0229885420853,44.36063712881633,12.49514497948003,2.888859700647797,95.59797122969151,6122.061691400782
0,4,False,summer,38.419157963542446,50.83868719818244,7.406933945465861,5.227328293819941,6679.344770158947,28.184624675826825,271.01640734341987,1.2709563372047594,0.4689591857788375,1.4315657079732178,95.15714592843368,6679.344770158947
19,4,True,summer,37.62856036747054,56.30265895704372,3.739383437233124,4.103829230356297,6394.454607943964,-0.32672276475973483,402.22045541721945,11.439908274581123,2.844188583774193,1.307919639315172,96.44875726456884,6394.454607943964
1,1,False,summer,42.12180569346626,45.336150260416936,13.071908852815765,8.036720768991145,6809.451787277483,43.7654779954096,174.62802355441434,44.627949924498886,25.556007000556104,3.157368967662603,99.03720077582031,6809.451787277483
6,5,False,summer,31.65077886791515,29.117406501677667,6.406616829393845,8.18014765922493,6623.713008412534,3.326468628243815,444.2922333025374,0.34760652655953517,0.07823826313048222,3.042989210310263,97.0870550157439,6623.713008412534
18,1,False,summer,35.06422757105442,57.71638815650077,4.848043980311329,5.187906217433661,6580.375260117728,5.106937749521849,381.2075835580711,18.1814801189647,4.769443448439433,4.887128330883843,99.81223647471056,6580.375260117728
1,2,False,summer,34.513174647251546,31.393619775098706,0.5533042103179919,6.095643339798968,6289.594930113564,4.373713440018346,301.0716092915446,2.5739375624994674,0.8549253676081358,2.1145858569464457,99.54132942983327,6289.594930113564
1,4,False,summer,37.341791404163445,59.42601816442403,3.630829072672506,6.721355474058786,6711.349751852413,27.93834983561477,404.64784613148703,11.881877199619984,2.936350041947107,3.9128653944474383,96.83891566359627,6711.349751852413
5,5,False,summer,38.03662026112138,23.61159080217633,12.52953743383857,3.2078006497173583,6887.946921077832,-9.00473026432863,174.6074041599417,2.038757077738196,1.1676234965790333,3.3635717727529673,98.38782180921142,6887.946921077832
2,6,False,summer,33.39743662796907,45.806911616377995,2.6154964350748715,6.90937738102466,6877.940947562233,-3.191588725564656,254.69413852021495,46.836499436836725,18.389311865973443,1.550083776583973,96.7053317552513,6877.940947562233
22,6,True,summer,43.160090300714714,30.317665108606224,9.899760690512686,8.172222002012159,6911.181166121798,43.83294547719961,322.0803246397849,26.482528917800323,8.222336756341269,1.9674091636018067,95.4655138390295,6911.181166121798
4,2,False,summer,32.830606625120694,31.154854103687274,10.505367449591569,8.466611422383059,6203.078872292907,46.13809965325685,442.529716751237,20.225406356109506,4.570406368320567,4.551080395043839,99.25464224383757,6203.078872292907
3,5,False,summer,40.03482382071343,43.22746485745819,5.584241498426146,9.401334424577785,7184.015839610253,16.90544857917484,489.46553470212694,14.196048736873285,2.9003163104247056,2.221455441377574,97.42806876793114,7184.015839610253
